Designator,Mid X,Mid Y,Rotation,Layer
C1,19.72,-79.4,0.0,top
C10,43.32,-57.1,0.0,top
C11,35.9,-7.4,270.0,top
C12,21.75,-88.65,180.0,top
C16,93.72,-10.2,0.0,top
C17,86.0,-80.7,0.0,top
C2,34.98,-57.4,0.0,top
C3,85.68,-56.5,0.0,top
C4,79.72,-56.6,0.0,top
C5,62.32,-56.8,0.0,top
C6,64.4,-11.92,90.0,top
C7,70.8,-56.8,0.0,top
C8,17.22,-57.3,0.0,top
C9,52.7,-57.0,0.0,top
J1,96.8,-70.855,0.0,top
J10,96.4,-46.595,0.0,top
J12,96.3,-22.755,0.0,top
J16,21.36,-94.6,90.0,top
J2,3.79,-24.115,0.0,top
J3,3.79,-48.585,0.0,top
J4,81.8,-84.655,0.0,top
J5,44.4,-94.1,90.0,top
J6,68.4,-94.1,90.0,top
J7,3.8,-76.955,0.0,top
J8,90.1,-69.675,0.0,top
J9,9.0,-69.695,0.0,top
P1,92.98,-83.8,90.0,top
PICO1,21.91,-28.15,0.0,top
PICO2,77.925,-28.07,0.0,top
PICO3,49.885,-28.09,0.0,top
RN1,11.35,-85.6,90.0,top
RN2,16.3,-85.8,90.0,top
RN3,21.05,-85.7,90.0,top
U1,49.93,-81.95,90.0,top
U2,78.8,-64.6,270.0,top
U4,61.7875,-64.6,270.0,top
U5,44.5,-64.6,270.0,top
U6,26.5,-65.1,270.0,top
