"Designator","Mid X","Mid Y","Layer","Rotation"
"J7","145.5mm","-64.34mm","top","0.0"
"J3","75.78mm","-142.7mm","top","90.0"
"C7","57.98mm","-108.5mm","top","0.0"
"C12","133.48mm","-145mm","top","0.0"
"C1","123.8mm","-52.3mm","top","0.0"
"U8","141.1375mm","-118.575mm","top","270.0"
"U3","137.1375mm","-135.075mm","top","270.0"
"C4","75.5mm","-53.5mm","top","0.0"
"J2","128.42mm","-55mm","top","90.0"
"U13","67.475mm","-79.31mm","top","270.0"
"U1","75.775mm","-138.325mm","top","90.0"
"C9","78.48mm","-109.5mm","top","0.0"
"U11","131.475mm","-66.595mm","top","270.0"
"J4","124.04mm","-117.7mm","top","-90.0"
"RN1","68.5mm","-135.5mm","top","90.0"
"J1","55mm","-65.38mm","top","0.0"
"C2","145.5mm","-90.5mm","top","0.0"
"U99","99.865mm","-76.31mm","top","0.0"
"RN2","56.15mm","-135.1mm","top","90.0"
"U2","57.6375mm","-95.275mm","top","270.0"
"C5","128.52mm","-110mm","top","0.0"
"U7","59.8625mm","-123.375mm","top","270.0"
"U12","69.5mm","-107mm","top","270.0"
"U10","133.1375mm","-83.925mm","top","270.0"
"U9","137.6375mm","-101.425mm","top","270.0"
"J6","118.69mm","-100.47mm","top","180.0"
"C10","70.48mm","-91.5mm","top","0.0"
"C8","127.5mm","-94.5mm","top","0.0"
"U4","68.525mm","-60.675mm","top","270.0"
"C11","68.98mm","-145mm","top","0.0"
"J5","81.46mm","-52.17mm","top","0.0"
